fcst_Week Num,fc_year,Week Start Date
33,2021,8/8/2021
34,2021,8/15/2021
35,2021,8/22/2021
36,2021,8/29/2021
37,2021,9/5/2021
38,2021,9/12/2021
39,2021,9/19/2021
40,2021,9/26/2021
41,2021,10/3/2021
42,2021,10/10/2021
43,2021,10/17/2021
44,2021,10/24/2021
45,2021,10/31/2021
46,2021,11/7/2021
47,2021,11/14/2021
48,2021,11/21/2021
49,2021,11/28/2021
50,2021,12/5/2021
51,2021,12/12/2021
52,2021,12/19/2021
